"192101"	205
"192102"	219
"192103"	225
"192104"	201
"192105"	226
"192106"	222
"192107"	219
"192108"	200
"192109"	242
"192110"	243
"192111"	205
"192112"	211
"192201"	154
"192202"	178
"192203"	226
"192204"	176
"192205"	216
"192206"	194
"192207"	187
"192208"	199
"192209"	216
"192210"	250
"192211"	235
"192212"	206
"192301"	209
"192302"	169
"192303"	218
"192304"	208
"192305"	198
"192306"	227
"192307"	227
"192308"	203
"192309"	203
"192310"	193
"192311"	174
"192312"	186
"192401"	185
"192402"	205
"192403"	185
"192404"	197
"192405"	219
"192406"	200
"192407"	215
"192408"	202
"192409"	223
"192410"	205
"192411"	243
"192412"	225
"192501"	236
"192502"	199
"192503"	182
"192504"	199
"192505"	197
"192506"	193
"192507"	197
"192508"	199
"192509"	201
"192510"	249
"192511"	232
"192512"	204
"192601"	186
"192602"	186
"192603"	242
"192604"	214
"192605"	168
"192606"	201
"192607"	224
"192608"	224
"192609"	216
"192610"	226
"192611"	203
"192612"	223
"192701"	240
"192702"	211
"192706"	287
"192707"	276
"192708"	258
"192709"	244
"192710"	222
"192711"	223
"192712"	149
"192801"	182
"192802"	189
"192806"	302
"192807"	273
"192808"	293
"192809"	266
"192810"	217
"192811"	275
"192812"	210
"192901"	188
"192902"	154
"192903"	278
"192908"	223
"192909"	239
"192910"	215
"192911"	198
"192912"	191
"193001"	185
"193002"	194
"193003"	223
"193004"	191
"193005"	242
"193006"	222
"193007"	217
"193008"	222
"193009"	227
"193010"	217
"193011"	226
"193012"	183
